hours seen,batch size label,iteration,wer clean,wer other,wer clean_right,wer other_right
4.17 k,150 sec,100 k,99.16,101.33,29.79,57.52
4.17 k,5 min,50 k,98.55,100.04,30.25,58.14
8.33 k,150 sec,200 k,88.71,94.32,22.98,50.31
8.33 k,5 min,100 k,90.23,95.29,22.98,50.57
8.33 k,10 min,50 k,88.35,93.96,22.35,49.56
12.5 k,150 sec,300 k,80.83,88.28,19.23,44.77
12.5 k,5 min,150 k,81.17,89.71,19.27,45.25
16.7 k,150 sec,400 k,72.00,82.15,16.49,40.18
16.7 k,5 min,200 k,73.63,83.54,16.71,41.17
16.7 k,10 min,100 k,73.17,84.01,16.83,40.63
16.7 k,20 min,50 k,72.95,83.12,16.89,41.09
25 k,5 min,300 k,64.40,75.36,14.21,35.51
25 k,10 min,150 k,63.73,74.55,13.97,35.50
33.3 k,5 min,400 k,60.96,70.61,12.24,31.49
33.3 k,10 min,200 k,59.00,69.44,12.46,31.39
33.3 k,20 min,100 k,59.76,70.14,12.30,31.22
33.3 k,40 min,50 k,53.70,63.52,10.94,27.53
50 k,10 min,300 k,53.32,63.30,10.21,25.99
50 k,20 min,150 k,54.04,63.91,10.47,26.55
66.7 k,10 min,400 k,50.71,60.05,9.07,23.06
66.7 k,20 min,200 k,51.64,60.64,9.28,23.97
66.7 k,40 min,100 k,50.80,58.74,8.63,21.26
66.7 k,80 min,50 k,51.26,60.42,9.29,23.20
100 k,20 min,300 k,48.61,56.51,8.09,20.75
100 k,40 min,150 k,48.04,55.41,7.63,18.67
133 k,20 min,400 k,47.43,54.71,7.40,19.04
133 k,40 min,200 k,48.06,55.66,7.11,17.25
133 k,80 min,100 k,45.40,53.46,7.31,18.32
200 k,40 min,300 k,46.35,53.42,6.58,15.74
200 k,80 min,150 k,42.84,51.20,6.58,16.70
267 k,40 min,400 k,45.57,52.50,6.26,15.10
267 k,80 min,200 k,42.40,50.34,6.27,15.85
